subject,predicate,object,relation_status,source_atom_id,evidence_source_ids
disease.clonorchiasis,classified_as,hazard.iarc_group_1_carcinogenic_to_humans,reviewed,PCMS-032,source.iarc_clonorchis_group1
disease.clonorchiasis,controlled_by,intervention.avoid_raw_undercooked_freshwater_fish,reviewed,W2-ATOM-006,source.who_clonorchiasis_qa_2025|source.cdc_clinical_overview_clonorchis_2024
disease.clonorchiasis,controlled_by,intervention.improved_sanitation,reviewed,W2-ATOM-026,source.who_clonorchiasis_qa_2025|source.who_foodborne_trematode_fact_sheet
disease.clonorchiasis,controlled_by,intervention.one_health_integrated_control,reviewed,PCMS-036,source.who_foodborne_trematode_fact_sheet
disease.clonorchiasis,diagnosed_by,diagnostic.duodenal_fluid_egg_microscopy,reviewed,PCMS-029,source.pmph_human_parasitology_10e_2024|source.nhc_ws309_2009
disease.clonorchiasis,diagnosed_by,diagnostic.stool_egg_microscopy,reviewed,PCMS-028,source.cdc_dpdx_clonorchiasis_2024|source.who_community_diagnosis_clonorchiasis
disease.clonorchiasis,has_diagnostic_clue,behavior.raw_undercooked_freshwater_fish_consumption,reviewed,W2-ATOM-001,source.who_community_diagnosis_clonorchiasis|source.cdc_dpdx_clonorchiasis_2024
disease.clonorchiasis,has_diagnostic_clue,diagnostic.biliary_imaging,reviewed,W2-ATOM-023,source.who_foodborne_trematode_fact_sheet|source.cdc_clinical_overview_clonorchis_2024
disease.clonorchiasis,manifests_as,manifestation.asymptomatic_light_infection,reviewed,W2-ATOM-022,source.who_foodborne_trematode_fact_sheet|source.cdc_dpdx_clonorchiasis_2024
disease.clonorchiasis,treated_by,treatment.albendazole,reviewed,PCMS-031,source.cdc_clinical_overview_clonorchis_2024
disease.clonorchiasis,treated_by,treatment.praziquantel,reviewed,PCMS-030,source.who_community_diagnosis_clonorchiasis
host.domestic_dogs_cats_pigs,sheds_stage,stage.clonorchis_egg,reviewed,PCMS-034,source.who_clonorchiasis_qa_2025|source.cdc_dpdx_clonorchiasis_2024
host.human,sheds_stage,stage.clonorchis_egg,reviewed,PCMS-033,source.cdc_dpdx_clonorchiasis_2024|source.who_clonorchiasis_qa_2025
intervention.reduce_animal_fecal_contamination,targets,environment.freshwater_environment,reviewed,W2-ATOM-028,source.who_clonorchiasis_qa_2025|source.who_foodborne_trematode_fact_sheet
intervention.reduce_human_fecal_contamination,targets,environment.freshwater_environment,reviewed,W2-ATOM-027,source.who_clonorchiasis_qa_2025|source.who_foodborne_trematode_fact_sheet
parasite.clonorchis_sinensis,has_definitive_host,host.human,reviewed,PCMS-022,source.cdc_dpdx_clonorchiasis_2024
parasite.clonorchis_sinensis,has_definitive_host,host.piscivorous_mammals,reviewed,PCMS-023,source.cdc_dpdx_clonorchiasis_2024
parasite.clonorchis_sinensis,has_first_intermediate_host,host.freshwater_snails_suitable_for_clonorchis,reviewed,PCMS-020,source.cdc_dpdx_clonorchiasis_2024
parasite.clonorchis_sinensis,has_life_cycle_stage,stage.clonorchis_adult,reviewed,PCMS-013,source.pmph_human_parasitology_10e_2024|source.cdc_dpdx_clonorchiasis_2024
parasite.clonorchis_sinensis,has_life_cycle_stage,stage.clonorchis_cercaria,reviewed,PCMS-011,source.pmph_human_parasitology_10e_2024|source.cdc_dpdx_clonorchiasis_2024
parasite.clonorchis_sinensis,has_life_cycle_stage,stage.clonorchis_egg,reviewed,PCMS-007,source.pmph_human_parasitology_10e_2024|source.cdc_dpdx_clonorchiasis_2024
