subject,predicate,object,relation_status,source_atom_id,evidence_source_ids
disease.clonorchiasis,controlled_by,intervention.avoid_raw_undercooked_freshwater_fish,reviewed,W2-ATOM-006,source.who_clonorchiasis_qa_2025|source.cdc_clinical_overview_clonorchis_2024
disease.clonorchiasis,controlled_by,intervention.improved_sanitation,reviewed,W2-ATOM-026,source.who_clonorchiasis_qa_2025|source.who_foodborne_trematode_fact_sheet
disease.clonorchiasis,has_diagnostic_clue,behavior.raw_undercooked_freshwater_fish_consumption,reviewed,W2-ATOM-001,source.who_community_diagnosis_clonorchiasis|source.cdc_dpdx_clonorchiasis_2024
disease.clonorchiasis,has_diagnostic_clue,diagnostic.biliary_imaging,reviewed,W2-ATOM-023,source.who_foodborne_trematode_fact_sheet|source.cdc_clinical_overview_clonorchis_2024
disease.clonorchiasis,manifests_as,manifestation.asymptomatic_light_infection,reviewed,W2-ATOM-022,source.who_foodborne_trematode_fact_sheet|source.cdc_dpdx_clonorchiasis_2024
intervention.reduce_animal_fecal_contamination,targets,environment.freshwater_environment,reviewed,W2-ATOM-028,source.who_clonorchiasis_qa_2025|source.who_foodborne_trematode_fact_sheet
intervention.reduce_human_fecal_contamination,targets,environment.freshwater_environment,reviewed,W2-ATOM-027,source.who_clonorchiasis_qa_2025|source.who_foodborne_trematode_fact_sheet
parasite.clonorchis_sinensis,transmitted_via,behavior.raw_undercooked_freshwater_fish_consumption,reviewed,W2-ATOM-005,source.who_foodborne_trematode_fact_sheet|source.cdc_dpdx_clonorchiasis_2024
pathology.clonorchis_related_biliary_pathology,occurs_in,anatomy.biliary_system,reviewed,W2-ATOM-009,source.cdc_dpdx_clonorchiasis_2024|source.hong_kim_clonorchis_cholangiocarcinoma_review_2016
stage.clonorchis_adult,parasitizes_site,anatomy.intrahepatic_small_medium_bile_ducts,reviewed,W2-ATOM-008,source.cdc_dpdx_clonorchiasis_2024|source.hong_kim_clonorchis_cholangiocarcinoma_review_2016
